Name,Profession,Dob,picture,notable_work
Benjamin Helstad,Actor,1987-6-26,"https://m.media-amazon.com/images/M/MV5BMTU1Mzk0MzIxMV5BMl5BanBnXkFtZTcwNjgzMzgxNQ@@._V1_UY317_CR119,0,214,317_AL__QL50.jpg","King of Devil's Island,Body Troopers,The Last King,Vill ni åka mera"
Brad Hunt,Actor,,"https://m.media-amazon.com/images/M/MV5BNzZmZmRjZTctNjFlYi00MDkxLWFkOGYtNTA0OWMwZGEyYTNkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg","Magnolia,Hart's War,The Bridge,The Journeyman"
Elissa Landi,Actress,1904-12-6,"https://m.media-amazon.com/images/M/MV5BMjIxNzA1NDgyM15BMl5BanBnXkFtZTgwMDk2ODY3MTE@._V1_UY317_CR17,0,214,317_AL__QL50.jpg","The Count of Monte Cristo,The Sign of the Cross,Underground,By Candlelight"
Nipsey Hussle,Actor,1985-8-15,"https://m.media-amazon.com/images/M/MV5BZGY5MTNiMjAtNzNiOC00OWZhLTliMDEtNDE2ZDA5NjcwMTVlXkEyXkFqcGdeQXVyMjE5MzM3MjA@._V1_UY317_CR132,0,214,317_AL__QL50.jpg","Grand Theft Auto V,Love Chronicles: Secrets Revealed,Caged Animal,Crazy Ex-Girlfriend"
Rob Stone,Actor,1962-9-22,,"Blue Angels: Around the World at the Speed of Sound,Mr. Belvedere,Shank!,One Vision"
Grace Slick,Soundtrack,1939-10-30,"https://m.media-amazon.com/images/M/MV5BOTA3NzMwNDI1MF5BMl5BanBnXkFtZTcwNzExNjkxNA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","American Hustle,The Game,Resident Evil: Extinction,Kong: Skull Island"
Declan Cooper,Actor,,"https://m.media-amazon.com/images/M/MV5BNjlmMDFiNzEtMmYyNS00MTNhLWIxMGMtNTNhYWEyYzRhYWJiXkEyXkFqcGdeQXVyODI4NjE3MDM@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Mrs. America,Flint,Stratford Festival: Macbeth,The 39th Annual Young Artist Awards"
Guy Marchand,Actor,1937-5-22,"https://m.media-amazon.com/images/M/MV5BYzEwNTBlNGUtNWI0Zi00YjEwLWFiOTQtMTQ4YTg2MGY1ZjJjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY317_CR142,0,214,317_AL__QL50.jpg","Garde à vue,Coup de Torchon,Loulou,Nestor Burma, Shock Detective"
John Lloyd Cruz,Actor,1983-6-24,"https://m.media-amazon.com/images/M/MV5BOWJiMWU2YmUtMGNhNC00MDA1LWEzNDMtZDNhYTgzYjI5NDIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","One More Chance,It Takes a Man and a Woman,Honor Thy Father,A Very Special Love"
Myles Humphus,Stunts,,"https://m.media-amazon.com/images/M/MV5BYzhlMmJiYzYtYjA1My00MWM3LWJjODctZjM4YmM3MTAzYmQyXkEyXkFqcGdeQXVyMzQ5NTUxOTk@._V1_UY317_CR33,0,214,317_AL__QL50.jpg","Fast & Furious Presents: Hobbs & Shaw,Jumanji: The Next Level,Once Upon a Time in Venice,I Don't Make the Rules"
Macy Drouin,Actress,,"https://m.media-amazon.com/images/M/MV5BNjY4YzExODUtZDgxMy00NTJmLTkyZTgtMTRiMWMzODNmYTFhXkEyXkFqcGdeQXVyMTk1NzIxNzU@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","Abby Hatcher,Reign,The Give and Take,The Last Big Save"
Peter Markle,Director,1952-9-24,"https://m.media-amazon.com/images/M/MV5BNzQ5ODUyZTYtMWRjNC00YmJmLWJmYjItNzY2YTQzYzcxYzYzXkEyXkFqcGdeQXVyMTc4NzExNQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Bat*21,Flight 93,Youngblood,The Last Days of Frankie the Fly"
Anette Støvelbæk,Actress,1967-7-27,"https://m.media-amazon.com/images/M/MV5BMTczMzAzMzE0MF5BMl5BanBnXkFtZTcwNTQ3MjA2NQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","Italian for Beginners,Park Road,In a Better World,Lærkevej - til døden os skiller"
Jack Smight,Director,1925-3-9,"https://m.media-amazon.com/images/M/MV5BNjY0OTEwNzg5Ml5BMl5BanBnXkFtZTcwODgzMTQzNw@@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","The Illustrated Man,Alcoa Theatre,The Twilight Zone,No Way to Treat a Lady"
Tom Van Dyck,Actor,1972-6-20,"https://m.media-amazon.com/images/M/MV5BOTFlZDIwNzQtNmZlZC00OTc0LWI1MmMtYWZhYmJjMzE1NmUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","Met Man en Macht,Van Vlees en Bloed,Matrioshki,Als de dijken breken"
Cassidy Nugent,Actress,,"https://m.media-amazon.com/images/M/MV5BY2Q0MWUwMjYtYjM2NS00NzIxLWJiMDEtOTQ4MmVjMmNhMzAyXkEyXkFqcGdeQXVyNzU2NjIxMzc@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Love Struck Café,I Am Elizabeth Smart,Van Helsing,When Calls the Heart"
Allan Arkush,Producer,1948-4-30,"https://m.media-amazon.com/images/M/MV5BZjNiMTU5YzMtY2E5NC00ODE5LThkY2EtMDNiY2ViMDFlZGZkXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY317_CR175,0,214,317_AL__QL50.jpg","Heroes,Witches of East End,Crossing Jordan,The Temptations"
Geordie Johnson,Actor,1953-2-25,,"The English Patient,Largo Winch,On the Basis of Sex,Durham County"
Whittni Wright,Actress,1987-0-0,"https://m.media-amazon.com/images/M/MV5BNDA0ZDc2MzgtMzNmNS00MTc4LTk3MzYtMTJiNDg2MjEzYTVjXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY317_CR133,0,214,317_AL__QL50.jpg","Sudden Death,I'll Do Anything,The Arsenio Hall Show"
Norman D. Golden II,Actor,1984-4-7,"https://m.media-amazon.com/images/M/MV5BNzY1OGUyNmItZjZjYy00YjY2LTllOTktNTkwY2MzYTRkN2FkXkEyXkFqcGdeQXVyMTA0OTE4MTE3._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Cop & ½,Moby Dick,Emerald Triangle,There Are No Children Here"
Larry Holden,Actor,1961-5-15,"https://m.media-amazon.com/images/M/MV5BMTQ0OTU0NTY3OV5BMl5BanBnXkFtZTgwOTMxOTEzMjE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","Memento,Batman Begins,My Father's House,Insomnia"
Terry Walters,Actress,,"https://m.media-amazon.com/images/M/MV5BNDdmYzlhZDgtYzYzZC00YmM5LTljOGEtNzIzZmYxMDBhNThjXkEyXkFqcGdeQXVyMjY4MzUwNjc@._V1_UY317_CR58,0,214,317_AL__QL50.jpg","All Rise,Euphoria,La La Land,Santa Clarita Diet"
Margarete Tiesel,Actress,1959-2-22,"https://m.media-amazon.com/images/M/MV5BZTM3YTgzMGQtYmU2MC00ZjM3LWE5OGUtODNkNDFlYjQ5ZmNjXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Golden Glove,Paradise: Love,Autumn Blood,Trautmann"
Chia-Liang Liu,Actor,1936-8-1,"https://m.media-amazon.com/images/M/MV5BZmIyNzQyMWYtOTc2MC00NGU2LWI5NDgtMGI3YTNlMGViMjM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","The Legend of Drunken Master,My Young Auntie,Legendary Weapons of China,Teenage Mutant Ninja Turtles III"
Sonia Curtis,Actress,1964-12-30,"https://m.media-amazon.com/images/M/MV5BNWNmYWY0YjEtNGVhMC00NTFlLTg3NTEtNTIzYThiOGM1MmFhXkEyXkFqcGdeQXVyMTIyOTkxMg@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Family Ties,The Monster Squad,Stressed to Kill,Terminal Bliss"
Eilene Janssen,Actress,1938-5-25,"https://m.media-amazon.com/images/M/MV5BNTQ1OWE1MjgtYWUzNi00OTRjLTllZTAtNzFmOWM2OGVjOGNlXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UY317_CR27,0,214,317_AL__QL50.jpg","The Search for Bridey Murphy,The 20th Century-Fox Hour,Tales of Wells Fargo,Panic in the City"
Craig Thomas,Writer,,,"How I Met Your Mother,The Goodwin Games,Oliver Beene,Death Warrant"
Aparna Sen,Actress,1945-10-25,"https://m.media-amazon.com/images/M/MV5BNTk5OWU3ZGItMGU1Mi00Y2Q5LWExNzYtZWRkYzRiZjg0NzQ3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Mr. and Mrs. Iyer,House of Memories,The Japanese Wife,36 Chowringhee Lane"
Chris Cox,Actor,,"https://m.media-amazon.com/images/M/MV5BMTQ5MTc4NDgwM15BMl5BanBnXkFtZTgwOTE5NzU5NjE@._V1_UY317_CR17,0,214,317_AL__QL50.jpg","Ted,Jak 3,Marvel Heroes,Jak II"
Laura Megan Stahl,Actress,,"https://m.media-amazon.com/images/M/MV5BNzIzMmM0ZDMtMmExZS00Njk2LWE2NjAtN2UzOWVmM2EzZTI1XkEyXkFqcGdeQXVyMjMwOTM5Njg@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","The Promised Neverland,JoJo's Bizarre Adventure,Beyblade Burst,Pokémon Masters"
George Murphy,Actor,1902-7-4,"https://m.media-amazon.com/images/M/MV5BNDEwMDk5OTY1N15BMl5BanBnXkFtZTcwODQxMjYyNw@@._V1_UY317_CR95,0,214,317_AL__QL50.jpg","This Is the Army,Broadway Rhythm,Border Incident,Broadway Melody of 1940"
Lang Fisher,Writer,,,"The Mindy Project,The Onion News Network,Never Have I Ever,30 Rock"
Jeanine Pirro,Actress,1951-6-2,"https://m.media-amazon.com/images/M/MV5BMTUwNjExMjQxOF5BMl5BanBnXkFtZTYwMzEzMDE0._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Law & Order: Special Victims Unit,Judge Jeanine Pirro,God's Not Dead: A Light in Darkness,Justice w/Judge Jeanine"
Jack Dee,Actor,1961-9-24,"https://m.media-amazon.com/images/M/MV5BODQwMTc2ODAwMV5BMl5BanBnXkFtZTgwNjQzOTY2NjE@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Lead Balloon,Bad Move,The Grimleys,Jonathan Creek"
Margaret Sixel,Editorial Department,,"https://m.media-amazon.com/images/M/MV5BMTg1NDgyMjA2Ml5BMl5BanBnXkFtZTgwMTQ5ODcxODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Mad Max: Fury Road,Happy Feet,Babe: Pig in the City,A Case of Honor"
Banksy,Art Department,,"https://m.media-amazon.com/images/M/MV5BMTgyMDM4MDA1OF5BMl5BanBnXkFtZTcwNzMxOTkyMw@@._V1_UY317_CR175,0,214,317_AL__QL50.jpg","Exit Through the Gift Shop,Velvet Buzzsaw,History of the Wall,Banksy's Channel 4 Street Summer Hijack"
Damian Hardung,Actor,1998-9-7,,"The Red Band Society,Die Könige der Straße,How to Sell Drugs Online (Fast),Auerhaus"
Jacqueline Bracamontes,Actress,1979-12-23,"https://m.media-amazon.com/images/M/MV5BMTgyODE5MTI1Ml5BMl5BanBnXkFtZTcwOTU4MTk5Mg@@._V1_UY317_CR14,0,214,317_AL__QL50.jpg","Rubí,Entrenando a mi papá,Heridas de amor,Al diablo con los guapos"
Ricky Dean Logan,Actor,,"https://m.media-amazon.com/images/M/MV5BMTQ0MjExNTg5Ml5BMl5BanBnXkFtZTYwNzAwMzky._V1_UY317_CR130,0,214,317_AL__QL50.jpg","Back to the Future Part II,Freddy's Dead: The Final Nightmare,Psycho Therapy,Buffy the Vampire Slayer"
Demi Adejuyigbe,Producer,,"https://m.media-amazon.com/images/M/MV5BMTEwMzQ0OTI5OTJeQTJeQWpwZ15BbWU4MDI1Njk0NzAy._V1_UY317_CR131,0,214,317_AL__QL50.jpg","The Good Place,@midnight,Between Two Ferns: The Movie,Major Lazer"
Owen Roe,Actor,1959-5-30,"https://m.media-amazon.com/images/M/MV5BNTM4NTMyMDkzOV5BMl5BanBnXkFtZTcwMDk1NDQwOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Michael Collins,Intermission,Any Time Now,Val Falvey TD"
Leona Paraminski,Actress,1979-8-22,"https://m.media-amazon.com/images/M/MV5BNDY4MjYzMDcwNV5BMl5BanBnXkFtZTgwMzQyNDg5ODE@._V1_UY317_CR39,0,214,317_AL__QL50.jpg","Winter in Rio,8 Winds,Dream Warrior,Because of You"
Santosh Sivan,Cinematographer,,"https://m.media-amazon.com/images/M/MV5BNTY4MDQ1ODEzN15BMl5BanBnXkFtZTYwNzcxMjc2._V1_UY317_CR127,0,214,317_AL__QL50.jpg","Ashoka the Great,Dil Se..,Theeviravaathi: The Terrorist,Halo"
Thom Russo,Music Department,,"https://m.media-amazon.com/images/M/MV5BMjI4MTA3NjE1Ml5BMl5BanBnXkFtZTgwNzcwNzYzODE@._V1_UY317_CR52,0,214,317_AL__QL50.jpg","Spider-Man,Battleship,Man on Fire,Phenomenon"
Sajid Nadiadwala,Producer,1966-2-18,"https://m.media-amazon.com/images/M/MV5BNmEzMTMxNDgtM2U5OS00YWVkLWFhNDItMWU2ZTVjZTE1MzJkXkEyXkFqcGdeQXVyODgzMDMwODI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Kick,Housefull 4,'83,Baaghi 3"
Menna Shalabi,Actress,1982-7-22,"https://m.media-amazon.com/images/M/MV5BMTczMDgzNjU5NF5BMl5BanBnXkFtZTcwNTI3MDI4Nw@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Nawara,An el ashq wel hawa,After the Battle,Al Asleyeen"
Dan Renton Skinner,Actor,1973-0-0,,"High-Rise,Shooting Stars,Angelos for President,Angelos Epithemiou and Friends"
Anahí,Actress,1982-5-14,"https://m.media-amazon.com/images/M/MV5BMjI0NzYxMjg1Ml5BMl5BanBnXkFtZTcwMzIyNDE5Mg@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","First Love,Clase 406,Rebelde,RBD: La familia"
Robert Mark Kamen,Writer,1947-10-9,,"The Fifth Element,The Karate Kid Part III,Taken,The Transporter"
Teoman Kumbaracibasi,Actor,1971-10-18,"https://m.media-amazon.com/images/M/MV5BMTg1NDM2MjYwN15BMl5BanBnXkFtZTcwNjA1MjIyMw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Toss-Up,Tuzak,Ask Kirmizi,Bir Deli Rüzgar"
Koki Uchiyama,Actor,,,"Soul Eater,Guilty Crown,Uncharted 4: A Thief's End,Infinite Stratos"
Deon Stewardson,Actor,1951-11-30,"https://m.media-amazon.com/images/M/MV5BMTYwNjg1MTIwNF5BMl5BanBnXkFtZTgwMjExNzQ2MjE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","Wild at Heart,Lethal Woman,American Kickboxer,Cyborg Cop III"
James Bamford,Stunts,1967-2-26,"https://m.media-amazon.com/images/M/MV5BNDI2OGI0OTEtZmYzYi00NmMwLTk2ZTctZTE5MjRjZDM5ZTgwXkEyXkFqcGdeQXVyMTA5ODkyODQz._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Watchmen,The Butterfly Effect,The Chronicles of Riddick,Arrow"
Lally Cadeau,Actress,1948-1-10,"https://m.media-amazon.com/images/M/MV5BODM1NDI0NTMtZTM4Ny00NjIzLTg3OTctNzU1NDIzY2M1MTBkXkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_UY317_CR21,0,214,317_AL__QL50.jpg","Videodrome,Avonlea,Hangin' In,You've Come a Long Way, Katie"
Isabella Ragonese,Actress,1981-5-19,"https://m.media-amazon.com/images/M/MV5BMjI2OTk5ODg4NF5BMl5BanBnXkFtZTcwODE1MzM4OA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Tutta la vita davanti,The First Assignment,Il padre d'Italia,La nostra vita"
Tom Stern,Camera and Electrical Department,1946-12-16,,"Changeling,Flags of Our Fathers,Letters from Iwo Jima,Mystic River"
Maria Grazia Buccella,Actress,1940-8-15,"https://m.media-amazon.com/images/M/MV5BMTM5MzNkM2ItMDlmYy00YzYwLWFiZjYtZDM5NjhjMmJlMmE2XkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","Ti ho sposato per allegria,Pleasant Nights,Nerone,Remo e Romolo (Storia di due figli di una lupa)"
Joaquim Dos Santos,Producer,1977-6-22,"https://m.media-amazon.com/images/M/MV5BNjcyNTcxOTU4MV5BMl5BanBnXkFtZTcwODAxNzkyMg@@._V1_UY317_CR52,0,214,317_AL__QL50.jpg","The Legend of Korra,Avatar: The Last Airbender,Voltron: Legendary Defender,Justice League Unlimited"
Robert Sudduth,Producer,1977-1-10,"https://m.media-amazon.com/images/M/MV5BYTAxMWEyYmQtNzdlZC00NGFlLWJiYmQtYmY3ZjFlYWUwNWFhXkEyXkFqcGdeQXVyMTkwNTY0NTA@._V1_UY317_CR60,0,214,317_AL__QL50.jpg","The Real O'Neals,The Crazy Ones,On My Block,Red Band Society"
Tanner Beard,Producer,1984-9-16,"https://m.media-amazon.com/images/M/MV5BMzA0YzNlOGQtZDQ3ZC00Njg1LThlYzYtMTBlNzdmNTkzMTc0XkEyXkFqcGdeQXVyMTM1Mjg5Mzg@._V1_UY317_CR117,0,214,317_AL__QL50.jpg","From Dusk Till Dawn: The Series,We Summon the Darkness,Voyage of Time: The IMAX Experience,Song to Song"
Sam Wood,Director,1883-7-10,"https://m.media-amazon.com/images/M/MV5BMTBhNmI0MmQtMTY0ZC00NmJmLWIwMGEtOGUzYmQ4MjYzZDU3XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","A Night at the Opera,Ivy,Goodbye, Mr. Chips,Kings Row"
Jack Ryder,Actor,1981-9-21,"https://m.media-amazon.com/images/M/MV5BNDBjODEwMzAtODc4MC00ZGU5LTk5MzItY2YzNGM2NjUwOGFmXkEyXkFqcGdeQXVyMjI2NzMwNjY@._V1_UY317_CR5,0,214,317_AL__QL50.jpg","EastEnders,Popcorn,Act of Memory: A Christmas Story,In the Club"
Clément Sibony,Actor,1976-11-30,"https://m.media-amazon.com/images/M/MV5BMjAyNzAyMjgyM15BMl5BanBnXkFtZTYwMDYyODgy._V1_UY317_CR7,0,214,317_AL__QL50.jpg","The Hundred-Foot Journey,The Tourist,French Kiss,Taking Wing"
Tamron Hall,Actress,1970-9-16,"https://m.media-amazon.com/images/M/MV5BMTQ1MjgxNjcxMV5BMl5BanBnXkFtZTgwMzc2OTA1NTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","General Hospital,Temple Talk,Law & Order: Special Victims Unit,NBC News Special: The Inauguration of Barack Obama"
Büsra Pekin,Actress,1982-6-30,"https://m.media-amazon.com/images/M/MV5BMjMxMDY3NDM1M15BMl5BanBnXkFtZTgwODU3NjI1MzE@._V1_UY317_CR200,0,214,317_AL__QL50.jpg","Neseli Hayat,Hadi Insallah,Let's Sin,Mutlu aile defteri"
Jan Maxwell,Actress,1956-11-20,"https://m.media-amazon.com/images/M/MV5BMjY4NzI0MTAyN15BMl5BanBnXkFtZTgwNTk3OTk3NDM@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","BrainDead,An Unfinished Life,Gossip Girl,The Good Wife"
Mair Mulroney,Actress,,"https://m.media-amazon.com/images/M/MV5BNGM0NGQ4M2EtYTlhYS00NzA4LThmMjItZjllNzc3ZGI1NGQ5XkEyXkFqcGdeQXVyMTQ0Nzc2NDA@._V1_UY317_CR50,0,214,317_AL__QL50.jpg","Unchained,Greetings from Los Angeles,Circumstantial,Candy & Ronnie"
Gérard Darmon,Actor,1948-2-29,"https://m.media-amazon.com/images/M/MV5BYjIzMjc1Y2YtOTM3YS00YzQyLTk0ODItZDQ4NDdlOTdkMWM1XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","Asterix and Obelix Meet Cleopatra,Betty Blue,Pasport,Vous êtes jeunes vous êtes beaux"
Valerie Breiman,Writer,,"https://m.media-amazon.com/images/M/MV5BMTYyODAxOTMyOF5BMl5BanBnXkFtZTYwNzM2MTg3._V1_UY317_CR126,0,214,317_AL__QL50.jpg","She's Having a Baby,Love & Sex,Going Overboard,Overnight"
Nathan Greno,Actor,1975-3-22,"https://m.media-amazon.com/images/M/MV5BOTcwMTQzNTYzOF5BMl5BanBnXkFtZTgwOTc2MzY1NjE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","Tangled,Meet the Robinsons,Tangled Ever After,Big Hero 6"
Zabou Breitman,Actress,1959-10-30,"https://m.media-amazon.com/images/M/MV5BMjEwNTYxMjkxNV5BMl5BanBnXkFtZTcwNTE3Njc5Mw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Beautiful Memories,The Swallows of Kabul,Les duettistes: Une dette mortelle,24 Days"
Jason Bloom,Director,,,"Criminal,The Hitman's Bodyguard,Survivor,Bio-Dome"
Griffin Kunitz,Actor,,"https://m.media-amazon.com/images/M/MV5BODcxOWYwMWItM2VhYi00ZmI2LTgzZmMtYTJhMDliNGIyZTU4XkEyXkFqcGdeQXVyMjc0MTM4ODM@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Cougar Town,Days of Our Lives,Win, Lose or Love,Fresh Off the Boat"
Salim Akil,Producer,1964-6-22,"https://m.media-amazon.com/images/M/MV5BMTY3NDc2NDMxNl5BMl5BanBnXkFtZTgwNjk5NTA4NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Black Lightning,The Game,Being Mary Jane,Jumping the Broom"
John Madden,Actor,1936-4-10,"https://m.media-amazon.com/images/M/MV5BMTg0NjcyMDA3Nl5BMl5BanBnXkFtZTYwOTA0OTU1._V1_UY317_CR1,0,214,317_AL__QL50.jpg","The Replacements,Arli$$,The Simpsons,Miller Lite: Tastes Great, Less Filling"
Jean-Claude Carrière,Writer,1931-9-19,"https://m.media-amazon.com/images/M/MV5BNzM3NzcxMDkwOF5BMl5BanBnXkFtZTcwMzE3MDQwOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Unbearable Lightness of Being,The Discreet Charm of the Bourgeoisie,Happy Anniversary,Birth"
Ingrid Caven,Actress,1938-8-3,"https://m.media-amazon.com/images/M/MV5BMTEzMzYzOTYxOTJeQTJeQWpwZ15BbWU4MDUwMzA3MTMx._V1_UY317_CR3,0,214,317_AL__QL50.jpg","Suspiria,Ludwig - Requiem for a Virgin King,Looping,Satan's Brew"
Arpit Ranka,Actor,,"https://m.media-amazon.com/images/M/MV5BNTQ5NGZhM2MtMDg1My00ZjJiLTljZWItYjgwNGIwOWM0YjczXkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","Mahabharat,Jaaneman,Paiyaa,Ayyanar"
Praveen Kumar,Actor,,,"Kaun Lageya Ritt?,Shankara,Mahabharat,Khwahish"
Antonella Lualdi,Actress,1931-7-6,"https://m.media-amazon.com/images/M/MV5BMGE1YmRjZjctZjU0NS00N2NmLTkyYzItNzJiYTMwNzhiNmRlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","The Red and the Black,Les Cordier, juge et flic,Andrea Chenier,The Big Night"
Madge Bellamy,Actress,1899-6-30,"https://m.media-amazon.com/images/M/MV5BMjE3NzcwNjI4NF5BMl5BanBnXkFtZTgwNzkxNzY3MTE@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","Black Paradise,Lazybones,White Zombie,Riot Squad"
Min Namkoong,Actor,1978-3-12,"https://m.media-amazon.com/images/M/MV5BNWY4NGUxOTMtYzQ2Yy00Mjg1LWE0MmUtNjEzYjdjNDM4ZWExXkEyXkFqcGdeQXVyMjIyNzU0OA@@._V1_UY317_CR114,0,214,317_AL__QL50.jpg","Remember: War of the Son,The Girl Who Sees Smells,Chief Kim,A Dirty Carnival"
Dash Barber,Actor,,"https://m.media-amazon.com/images/M/MV5BZDZiZTRlNWQtZDA4Mi00ZWUyLTk4OTktMWEyNmUxNzM2Y2ExXkEyXkFqcGdeQXVyMTk5NTkxNTk@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Little Women,The Queen,Let Mercy Come,Patriot"
Sophia Marzocchi,Actress,,"https://m.media-amazon.com/images/M/MV5BMzE4ODQ0NDIwNl5BMl5BanBnXkFtZTcwODQ5NDgzMQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Divergent,Red Dead Redemption,Small Town Saturday Night,What a Great Idea"
Randall Miller,Director,,"https://m.media-amazon.com/images/M/MV5BNDg5OWI5ZDItNjMyYi00OGRmLWI5YWQtYmE4ZmQwZTRhNzQzXkEyXkFqcGdeQXVyMzc5MzYzMg@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Bottle Shock,CBGB,Marilyn Hotchkiss' Ballroom Dancing & Charm School,Houseguest"
Ned Romero,Actor,1926-12-4,"https://m.media-amazon.com/images/M/MV5BMTgzMjk0NDU1NV5BMl5BanBnXkFtZTgwMTcwNDk0MjE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","I Will Fight No More Forever,Star Trek: The Original Series,Star Trek: The Next Generation,Hang 'Em High"
Paul Stevens,Actor,1921-1-17,"https://m.media-amazon.com/images/M/MV5BMzM2ZmU0NTAtMGU0Mi00MTY3LWI5ZmMtZmYzZjQ1NTM5ZDliL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyOTA4NDY2Mw@@._V1_UY317_CR87,0,214,317_AL__QL50.jpg","Battle for the Planet of the Apes,Patton,The Mask,Mission: Impossible"
Eden Summer Gilmore,Actress,,"https://m.media-amazon.com/images/M/MV5BZmZiMTgwNTctOTc3YS00ZjAzLTk2ZDYtNTIxYjhlZGEwMWFlXkEyXkFqcGdeQXVyNzE1NDY3NTc@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Nancy Drew,The Healing Powers of Dude,Riverdale,Supernatural"
Katia Goulioni,Actress,,,"Polyxeni,Eftyhia,Still River,Ziteitai pseftis"
Alex Rubens,Writer,,"https://m.media-amazon.com/images/M/MV5BMTkxMDQ1NDQ4NF5BMl5BanBnXkFtZTgwNjg2MjMxMzE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Keanu,Key and Peele,Community,The Twilight Zone"
Joe Cocker,Soundtrack,1944-5-20,"https://m.media-amazon.com/images/M/MV5BMjIzNDczNDU3NF5BMl5BanBnXkFtZTcwNzUyMDgwOA@@._V1_UY317_CR135,0,214,317_AL__QL50.jpg","Across the Universe,The Bodyguard,Iron Man 2,Blown Away"
Michael Barbieri,Actor,,"https://m.media-amazon.com/images/M/MV5BODFmNzNiMTUtMzc3Yi00OTE1LWJiNzEtNDJkNzI0ZmFmMGI4XkEyXkFqcGdeQXVyNjYwNTg1MzU@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Spider-Man: Homecoming,The Dark Tower,Little Men,Nunsense"
Naomi McDougall Jones,Actress,1987-5-19,"https://m.media-amazon.com/images/M/MV5BODY3NzdkMWItNDIyMi00YTMwLTlmNTItYzM4Njg3ZWRjZDk2XkEyXkFqcGdeQXVyMjQ0Njg0MjY@._V1_UY317_CR13,0,214,317_AL__QL50.jpg","Imagine I'm Beautiful,Corrupting the Classics with Contemporary Crap,Bite Me,Nothing About Chloe"
